# method,path,operation_id,tag,security,request_schema,response_schema,success_status,flags,queries
PATCH,/api/v1/settings/data-governance/retention-schedules/{scheduleID},patchSettingsDataGovernanceRetentionSchedulesByScheduleID,data-governance,bearer,RetentionSchedulePatch,RetentionSchedule,200,feature-gated,
DELETE,/api/v1/settings/data-governance/retention-schedules/{scheduleID},deleteSettingsDataGovernanceRetentionSchedulesByScheduleID,data-governance,bearer,GenericMutation,,204,feature-gated,
POST,/api/v1/settings/data-governance/retention-assignments,postSettingsDataGovernanceRetentionAssignments,data-governance,bearer,RetentionAssignmentInput,RecordRetentionAssignment,201,feature-gated,
GET,/api/v1/settings/data-governance/retention-assignments/{assignmentID},getSettingsDataGovernanceRetentionAssignmentsByAssignmentID,data-governance,bearer,,RecordRetentionAssignment,200,feature-gated,
POST,/api/v1/settings/data-governance/retention-assignments/{assignmentID}/review,postSettingsDataGovernanceRetentionAssignmentsByAssignmentIDReview,data-governance,bearer,RetentionReviewInput,RecordRetentionAssignment,200,feature-gated,
GET,/api/v1/settings/data-governance/retention-assignments/{assignmentID}/exceptions,getSettingsDataGovernanceRetentionAssignmentsByAssignmentIDExceptions,data-governance,bearer,,RetentionExceptionList,200,feature-gated,
POST,/api/v1/settings/data-governance/retention-assignments/{assignmentID}/exceptions,postSettingsDataGovernanceRetentionAssignmentsByAssignmentIDExceptions,data-governance,bearer,RetentionExceptionInput,RetentionException,201,feature-gated,
POST,/api/v1/settings/data-governance/retention-exceptions/{exceptionID}/decision,postSettingsDataGovernanceRetentionExceptionsByExceptionIDDecision,data-governance,bearer,RetentionExceptionDecisionInput,RetentionException,200,feature-gated,
GET,/api/v1/settings/data-governance/records/{recordType}/{recordID}/disposition,getSettingsDataGovernanceRecordsByRecordTypeByRecordIDDisposition,data-governance,bearer,,RecordDispositionDecision,200,feature-gated,
GET,/api/v1/settings/data-governance/legal-holds,getSettingsDataGovernanceLegalHolds,data-governance,bearer,,LegalHoldList,200,feature-gated;paginated,status:string:false
POST,/api/v1/settings/data-governance/legal-holds,postSettingsDataGovernanceLegalHolds,data-governance,bearer,LegalHoldInput,LegalHold,201,feature-gated,
GET,/api/v1/settings/data-governance/legal-holds/{holdID},getSettingsDataGovernanceLegalHoldsByHoldID,data-governance,bearer,,LegalHold,200,feature-gated,
PATCH,/api/v1/settings/data-governance/legal-holds/{holdID},patchSettingsDataGovernanceLegalHoldsByHoldID,data-governance,bearer,LegalHoldPatch,LegalHold,200,feature-gated,
POST,/api/v1/settings/data-governance/legal-holds/{holdID}/release,postSettingsDataGovernanceLegalHoldsByHoldIDRelease,data-governance,bearer,LegalHoldReleaseInput,LegalHold,200,feature-gated,
GET,/api/v1/settings/data-governance/legal-holds/{holdID}/records,getSettingsDataGovernanceLegalHoldsByHoldIDRecords,data-governance,bearer,,LegalHoldRecordList,200,feature-gated,active_only:boolean:false
POST,/api/v1/settings/data-governance/legal-holds/{holdID}/records,postSettingsDataGovernanceLegalHoldsByHoldIDRecords,data-governance,bearer,LegalHoldRecordInput,LegalHoldRecord,201,feature-gated,
POST,/api/v1/settings/data-governance/legal-holds/{holdID}/records/{holdRecordID}/release,postSettingsDataGovernanceLegalHoldsByHoldIDRecordsByHoldRecordIDRelease,data-governance,bearer,LegalHoldRecordReleaseInput,,204,feature-gated,
GET,/api/v1/settings/data-governance/events,getSettingsDataGovernanceEvents,data-governance,bearer,,DataGovernanceEventList,200,feature-gated;paginated,entity_type:string:false;entity_id:string:false;event_type:string:false
GET,/api/v1/settings/data-governance/events/verify,getSettingsDataGovernanceEventsVerify,data-governance,bearer,,GovernanceChainVerification,200,feature-gated,
POST,/api/v1/auth/invitations/accept,acceptIdentityInvitation,identity,public,IdentityInvitationAcceptInput,IdentityAcceptanceResult,200,identity-security,
POST,/api/v1/auth/email-verification/request,requestIdentityEmailVerification,identity,public,IdentityEmailRequest,MessageResponse,202,identity-security,
POST,/api/v1/auth/email-verification/confirm,confirmIdentityEmailVerification,identity,public,IdentityTokenInput,,204,identity-security,
POST,/api/v1/auth/password/forgot,requestIdentityPasswordReset,identity,public,IdentityEmailRequest,MessageResponse,202,identity-security,
POST,/api/v1/auth/password/reset,resetIdentityPassword,identity,public,IdentityPasswordResetInput,,204,identity-security,
POST,/api/v1/auth/mfa/verify,verifyIdentityLoginMFA,identity,public,IdentityMFAProofInput,TokenResponse,200,identity-security,
